,date_time,main_artist,featuring,song,album
1,2018-02-11 18:02:00,Jazmine Sullivan,NA,Let It Burn [Explicit],Reality Show [Explicit]
2,2018-02-11 18:02:00,Frank Sinatra,NA,Street Of Dreams (Live At The Sands Hotel And Casino/1966),Sinatra At The Sands
3,2018-02-11 18:04:00,Barbra Streisand;Frank Sinatra,NA,I've Got A Crush On You (Duet with Frank Sinatra) [Clean],Duets
4,2018-02-11 18:08:00,Frank Sinatra,NA,Wave [feat. Antonio Carlos Jobim],Sinatra/Jobim: The Complete Reprise Recordings
5,2018-02-11 18:11:00,Frank Sinatra and Antonio Carlos Jobim,NA,Once I Loved (O Amor Em Paz),Francis Albert Sinatra & Antonio Carlos Jobim
6,2018-02-11 18:14:00,Frank Sinatra,NA,Isle Of Capri (1998 Digital Remaster),Come Fly With Me
7,2018-02-11 18:16:00,Frank Sinatra,NA,My Kind Of Town (Live At The Sands Hotel And Casino/1966),Sinatra At The Sands
8,2018-02-11 18:19:00,Frank Sinatra,NA,The Way You Look Tonight,"Days Of Wine And Roses, Moon River And Other Academy Award Winners"
9,2018-02-11 18:22:00,Frank Sinatra,NA,That's Life,That's Life
10,2018-02-11 18:25:00,Frank Sinatra,NA,Come Rain Or Come Shine,Sinatra & Strings
11,2018-02-11 18:29:00,Frank Sinatra,NA,It's Nice To Go Trav'ling (1998 Digital Remaster),Come Fly With Me
12,2018-02-11 18:33:00,Frank Sinatra,NA,You Make Me Feel So Young (Live At The Sands Hotel And Casino/1966),Sinatra At The Sands
13,2018-02-11 18:37:00,Frank Sinatra,NA,At Long Last Love,Sinatra And Swingin' Brass
14,2018-02-11 18:39:00,Frank Sinatra,NA,The September Of My Years,September Of My Years (Expanded Edition)
15,2018-02-12 17:50:00,Michael Bublé,NA,To Be Loved,To Be Loved
16,2018-02-12 17:54:00,Michael Bublé,NA,Wonderful Tonight (Duet With Ivan Lins),Call Me Irresponsible (Standard Edition)
17,2018-02-12 17:58:00,Michael Bublé,NA,A Song For You (feat. Chris Botti),It's Time
18,2018-02-12 18:01:00,Tony Bennett & Michael Bublé,NA,Don't Get Around Much Anymore,Duets II
19,2018-02-12 18:04:00,Michael Bublé,NA,Someday (feat. Meghan Trainor),Nobody But Me (Deluxe Version)
20,2018-02-12 18:07:00,Michael Bublé,NA,For Once In My Life,Michael Bublé
21,2018-02-12 18:10:00,Michael Bublé,NA,Nevertheless (I'm In Love With You) [feat. The Puppini Sisters],To Be Loved
22,2018-02-12 18:13:00,Michael Bublé,NA,You Don't Know Me,It's Time
23,2018-02-12 18:17:00,Michael Bublé,NA,Everything,Call Me Irresponsible (Standard Edition)
24,2018-02-12 18:21:00,Michael Bublé,NA,Haven't Met You Yet,Crazy Love (Amazon Exclusive Version)
25,2018-02-12 18:25:00,Michael Bublé,NA,Sway,Michael Bublé
26,2018-02-12 18:28:00,Michael Bublé,NA,You've Got A Friend In Me,To Be Loved
27,2018-02-12 18:31:00,Michael Bublé,NA,Home,It's Time
28,2018-02-12 18:32:00,Michael Bublé,NA,Nobody But Me,Nobody But Me (Deluxe Version)
29,2018-02-12 18:35:00,Michael Bublé,NA,Me And Mrs. Jones,Call Me Irresponsible (Standard Edition)
30,2018-02-12 18:40:00,Michael Bublé,NA,Summer Wind,Michael Bublé
31,2018-02-12 18:43:00,Michael Bublé,NA,Close Your Eyes,To Be Loved
32,2018-02-14 17:30:00,Michael Bublé,NA,You've Got A Friend In Me,To Be Loved
33,2018-02-14 17:34:00,Tony Bennett & Michael Bublé,NA,Don't Get Around Much Anymore,Duets II
34,2018-02-14 17:36:00,Michael Bublé,NA,A Song For You (feat. Chris Botti),It's Time
35,2018-02-14 17:41:00,Michael Bublé,NA,Wonderful Tonight (Duet With Ivan Lins),Call Me Irresponsible (Standard Edition)
36,2018-02-14 17:45:00,Michael Bublé,NA,Someday (feat. Meghan Trainor),Nobody But Me (Deluxe Version)
37,2018-02-14 17:49:00,Michael Bublé,NA,Have I Told You Lately That I Love You (with Naturally 7),To Be Loved
38,2018-02-14 17:52:00,Michael Bublé,NA,Kissing A Fool,Michael Bublé
39,2018-02-14 17:57:00,Michael Bublé,NA,Home,It's Time
40,2018-02-14 18:00:00,Michael Bublé,NA,The Best Is Yet To Come,Call Me Irresponsible (Standard Edition)
41,2018-02-14 18:03:00,Michael Bublé,NA,I Believe in You,Nobody But Me (Deluxe Version)
42,2018-02-14 18:07:00,Michael Bublé,NA,Haven't Met You Yet,Crazy Love (Amazon Exclusive Version)
43,2018-02-14 18:11:00,Michael Bublé,NA,Come Fly With Me,Michael Bublé
44,2018-02-14 18:14:00,Michael Bublé,NA,Close Your Eyes,To Be Loved
45,2018-02-14 18:18:00,Michael Bublé,NA,Call Me Irresponsible,Call Me Irresponsible (Standard Edition)
46,2018-02-14 18:21:00,Michael Bublé,NA,"Quando, Quando, Quando (with Nelly Furtado)",It's Time
47,2018-02-14 18:26:00,Michael Bublé,NA,Nobody But Me,Nobody But Me (Deluxe Version)
48,2018-02-14 18:29:00,Michael Bublé,NA,Fever,Michael Bublé
49,2018-02-14 18:33:00,Michael Bublé,NA,I Got It Easy,To Be Loved
50,2018-02-15 18:23:00,Tenacious D,NA,Kickapoo [Explicit],The Pick Of Destiny [Explicit]
51,2018-02-15 18:28:00,Tenacious D,NA,Roadie (Explicit Version) [Explicit],Rize Of The Fenix [Explicit]
52,2018-02-15 18:31:00,Tenacious D,NA,Car Chase City (Clean Version) [Clean],The Pick of Destiny [Clean]
53,2018-02-15 18:33:00,Tenacious D,NA,They ****** Our ***** [Clean],Rize Of The Fenix [Clean]
54,2018-02-15 18:34:00,Tenacious D,NA,Car Chase City [Explicit],The Pick Of Destiny [Explicit]
55,2018-02-15 18:35:00,Lady Gaga,NA,Highway Unicorn (Road To Love),Born This Way
56,2018-02-15 18:35:00,Lady Gaga,NA,Diamond Heart [Explicit],Joanne [Explicit]
57,2018-02-15 18:38:00,Lady Gaga,NA,A-YO,Joanne [Explicit]
58,2018-02-15 18:42:00,Lady Gaga,NA,Joanne,Joanne [Explicit]
59,2018-02-15 18:45:00,Lady Gaga,NA,John Wayne,Joanne [Explicit]
60,2018-02-15 18:48:00,Lady Gaga,NA,Dancin' In Circles,Joanne [Explicit]
61,2018-02-15 18:52:00,Lady Gaga,NA,Perfect Illusion,Joanne [Explicit]
62,2018-02-15 18:55:00,Lady Gaga,NA,Million Reasons,Joanne [Explicit]
63,2018-02-15 18:58:00,Lady Gaga,NA,Sinner's Prayer,Joanne [Explicit]
64,2018-02-16 17:34:00,Barry Manilow,NA,Weekend in New England,Ultimate Manilow
65,2018-02-16 17:34:00,The Weeknd,NA,Prisoner [feat. Lana Del Rey] [Explicit],Beauty Behind The Madness [Explicit]
66,2018-02-16 17:39:00,The Weeknd,NA,Professional,Kiss Land [Clean]
67,2018-02-16 17:43:00,The Weeknd,NA,Losers [feat. Labrinth] [Clean],Beauty Behind The Madness [Clean]
68,2018-02-16 17:48:00,The Weeknd,NA,I Feel It Coming [feat. Daft Punk],Starboy [Explicit]
69,2018-02-16 17:53:00,Ariana Grande & The Weeknd,NA,Love Me Harder,My Everything (Deluxe)
70,2018-02-16 17:57:00,The Weeknd,NA,Losers [feat. Labrinth] [Explicit],Beauty Behind The Madness [Explicit]
71,2018-02-16 18:01:00,The Weeknd,NA,Live For [feat. Drake] [Explicit],Kiss Land [Explicit]
72,2018-02-16 18:05:00,The Weeknd,NA,Earned It (Fifty Shades Of Grey) [Clean],Beauty Behind The Madness [Clean]
73,2018-02-16 18:08:00,Enrique Iglesias,NA,El Perdedor [feat. Marco Antonio Solís],Sex And Love (Deluxe) [Explicit]
74,2018-02-16 18:11:00,Enrique Iglesias,NA,There Goes My Baby [feat. Flo Rida],Sex And Love (Deluxe Edition)
75,2018-02-16 18:14:00,Enrique Iglesias & Usher,NA,Dirty Dancer,Euphoria (Standard US/Latin Version)
76,2018-02-16 18:18:00,Nicky Jam & Enrique Iglesias,NA,El Perdón,Fénix
77,2018-02-16 18:21:00,Enrique Iglesias,NA,Let Me Be Your Lover [feat. Pitbull],Sex And Love [Explicit]
78,2018-02-20 17:32:00,Enrique Iglesias,NA,Me Cuesta Tanto Olvidarte,Sex And Love [Explicit]
79,2018-02-20 17:36:00,Nicky Jam & Enrique Iglesias,NA,El Perdón,Fénix
80,2018-02-20 17:39:00,Enrique Iglesias & Usher,NA,Dirty Dancer,Euphoria (Standard US/Latin Version)
81,2018-02-20 17:43:00,Enrique Iglesias,NA,I'm A Freak [feat. Pitbull] [Explicit],Sex And Love
82,2018-02-20 17:46:00,Enrique Iglesias,NA,Noche Y De Dia [feat. Yandel & Juan Magan],Sex And Love (Deluxe) [Explicit]
